[2019-12-17 06:38:22] info | Hello
[2019-12-17 18:31:58] emergency | Code: exception | Message: Too few arguments to function app\controllers\PageController::actionShow(), 0 passed in /home/vagrant/code/shop-core/core/Router.php on line 35 and exactly 1 expected | File: /home/vagrant/code/shop-core/app/controllers/PageController.php | Line: 14
[2019-12-17 19:47:06] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 44
[2019-12-17 19:47:10] emergency | Code: exception | Message: Controller app\controllers\admin\MainController not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 19:47:35] emergency | Code: exception | Message: Method app\controllers\admin\MainController::actionIndex not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 38
[2019-12-17 19:53:37] emergency | Code: exception | Message: View not found/home/vagrant/code/shop-core/core/app/views/main/index.php | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 42
[2019-12-17 19:53:59] emergency | Code: exception | Message: View not found /home/vagrant/code/shop-core/core/app/views/main/index.php | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 42
[2019-12-17 20:01:13] emergency | Code: exception | Message: View not found /home/vagrant/code/shop-core/../app/views/main/index.php | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 42
[2019-12-17 20:03:34] emergency | Code: exception | Message: View not found /home/vagrant/code/shop-core/app/views/admin/main/index.php | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 42
[2019-12-17 20:33:34] notice | Code: 8 | Message: Undefined index: title | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 58
[2019-12-17 20:33:34] notice | Code: 8 | Message: Undefined index: description | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 59
[2019-12-17 20:33:34] notice | Code: 8 | Message: Undefined index: keywords | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 60
[2019-12-17 20:33:37] notice | Code: 8 | Message: Undefined index: title | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 58
[2019-12-17 20:33:37] notice | Code: 8 | Message: Undefined index: description | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 59
[2019-12-17 20:33:37] notice | Code: 8 | Message: Undefined index: keywords | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 60
[2019-12-17 20:48:59] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 45
[2019-12-17 20:51:34] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 46
[2019-12-17 20:51:57] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 46
[2019-12-17 20:52:02] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 46
[2019-12-17 20:52:10] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 46
[2019-12-17 20:57:36] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 47
[2019-12-17 20:58:16] emergency | Code: exception | Message: Method app\controllers\PageController::actionView not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-17 20:58:26] emergency | Code: exception | Message: Route not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 47
[2019-12-17 20:58:34] emergency | Code: exception | Message: Method app\controllers\PageController::actionView not found | File: /home/vagrant/code/shop-core/core/Router.php | Line: 41
[2019-12-18 12:33:40] emergency | Code: exception | Message: View /home/vagrant/code/shop-core/app/views/page/show.php not found | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 48
[2019-12-18 12:33:53] emergency | Code: exception | Message: View /home/vagrant/code/shop-core/app/views/page/index.php not found | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 48
[2019-12-18 12:33:59] emergency | Code: exception | Message: View /home/vagrant/code/shop-core/app/views/page/index.php not found | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 48
[2019-12-18 12:45:40] emergency | Code: exception | Message: View /home/vagrant/code/shop-core/app/views/page/show.php not found | File: /home/vagrant/code/shop-core/core/base/View.php | Line: 47
[2019-12-18 12:55:08] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:55:51] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:56:36] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:56:42] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:56:46] emergency | Code: exception | Message: Call to a member function fetch() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 18
[2019-12-18 12:57:18] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:57:39] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:57:44] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:57:48] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
[2019-12-18 12:58:22] emergency | Code: exception | Message: Call to a member function setFetchMode() on bool | File: /home/vagrant/code/shop-core/core/Db.php | Line: 16
